Время,Время моделирования,Погрешность (%)
0,0,1.01181
0,338.018,0.789105
0,674.977,1.03947
0,1012.99,0.868282
0,1350.4,0.0094484
0,1686.84,0.0242173
0,2022.94,0.438294
0,2359.64,0.56792
0,2696.66,0.48426
0,3033.6,0.466401
0,3370.85,0.151282
0,3707.49,0.832427
0,4045.14,0.349561
0,4382.31,0.371722
0,4719.22,0.0728487
0,5055.75,0.372807
0,5391.63,0.618959
0,5728.84,0.017939
0,6065.48,0.185588
0,6401.69,0.465388
0,6738.59,0.00708408
0,7074.74,0.00646894
0,7411.73,0.0936938
0,7748.75,0.258823
0,8085.95,0.500329
0,8423.39,0.101285
0,8760.01,0.418361
0,9096.94,0.199903
0,9432.93,0.00850688
0,9769.36,0.479713
0,10106.9,0.22555
0,10443.6,0.14604
0,10780.8,0.593297
0,11118.4,0.61382
0,11456,0.489323
0,11791.9,0.773448
0,12129.5,0.395486
0,12466.6,0.0748545
0,12803.4,0.133765
0,13140.2,0.384209
0,13477.1,0.337844
0,13814.3,0.11161
0,14151.2,0.596931
0,14489,0.0842932
0,14826.3,0.280959
0,15163.2,0.0577913
0,15499.6,0.262496
0,15836.9,0.174031
0,16173.4,0.267163
0,16510.6,0.784927
0,16848.7,0.723016
0,17186.5,0.331746
0,17524,0.412148
0,17861.2,0.522655
0,18197,1.01951
0,18535.5,0.934785
0,18873.2,0.377522
0,19210.5,0.868901
0,19548.1,0.831095
0,19885.8,0.412724
0,20222.1,0.232727
0,20559.3,0.286788
0,20896.1,0.473689
0,21233.8,0.192487
0,21571.4,0.356733
0,21908.2,0.186871
0,22244.8,0.224903
0,22582.1,0.464834
0,22919.7,0.0132982
0,23256.4,0.166238
0,23593.6,0.135063
0,23930.6,0.225661
0,24267.1,0.0822619
0,24603.9,0.152749
0,24941,0.155441
0,25278.1,0.496913
0,25614.5,0.259358
0,25952,0.112938
0,26289.3,0.24159
0,26626.6,0.253406
0,26964.2,0.506231
0,27299.9,0.458874
0,27637.9,0.186837
0,27975,0.255945
0,28312,0.154923
0,28648.6,0.112295
0,28985.9,0.116715
0,29322.5,0.453981
0,29660.2,0.250231
0,29997.6,0.0713831
0,30334.9,0.00465164
0,30671.8,0.489847
0,31010,0.160106
0,31347.6,0.66893
0,31683.8,0.619274
0,32022.4,0.310191
0,32360.1,0.437028
0,32696.5,0.404382
0,33034.3,0.826135
0,33372.7,0.127625
0,33709.8,0.135951
0,34046.8,0.677665
0,34383.2,0.0429447
0,34720.3,0.00338296
0,35057.4,0.244274
0,35394.4,0.219695
0,35731.8,0.298102
0,36068,0.304006
0,36404.4,0.373462
0,36741.9,0.320549
0,37078.5,0.307776
0,37416.1,0.145487
0,37753.3,0.151676
0,38090.1,0.32043
0,38427.5,0.330818
0,38764.7,0.0989113
0,39101.5,0.268035
0,39437.6,0.033803
0,39774.7,0.0284928
0,40111.5,0.0823235
0,40448.7,0.160709
0,40785.2,0.132667
0,41122.3,0.51479
0,41458.4,0.129931
0,41794.8,0.0659817
0,42131.4,0.116313
0,42468.1,0.249609
0,42804.2,0.112157
0,43140.7,0.289189
0,43477.6,0.516126
0,43815,0.401806
0,44152.8,0.00817655
0,44489.4,0.0170385
0,44826.3,0.121041
0,45162.9,0.0271033
0,45499.7,0.367063
0,45835.9,0.0751725
0,46172.8,0.187029
0,46509.2,0.0930464
0,46846.3,0.250073
0,47183.1,0.133716
0,47519.5,0.403091
0,47855.7,0.646658
0,48193.6,0.129245
0,48530.4,0.338273
0,48867.4,0.248886
0,49203.9,0.458778
0,49540,0.218787
0,49876.8,0.0723603
0,50213.3,0.245215
0,50549.5,0.168598
0,50886.6,0.153938
0,51223.5,0.468151
0,51560.9,0.309692
0,51898.7,0.103762
0,52234.9,0.184831
0,52571.6,0.36982
0,52908,0.143014
0,53244.6,0.369894
0,53581.9,0.102347
0,53918.1,0.044214
0,54254.6,0.14181
0,54591.1,0.137599
0,54927.7,0.970159
0,55265.5,0.300273
0,55601.7,0.522507
0,55938.6,0.539516
0,56275.6,0.466898
0,56611.9,0.271846
0,56949,0.314695
0,57286.3,0.581511
0,57622,0.345921
0,57958.9,0.758571
0,58295,0.219848
0,58631.7,0.713129
0,58969.4,0.689071
0,59307.2,0.505721
0,59643.4,0.0412344
0,59979.6,0.51537
0,60316.8,0.968451
0,60655.1,0.113511
0,60991.5,0.318079
0,61328.7,0.134631
0,61665.5,0.069613
0,62002.2,0.76733
0,62337.2,0.142827
0,62673.4,0.156101
0,63009.7,0.421545
0,63347.1,0.225692
0,63683.4,0.307204
0,64020.4,0.0579332
0,64357,0.231074
0,64693.7,0.682899
0,65031.2,0.0637029
0,65367.7,0.128907
0,65704.8,0.831469
0,66042.7,0.682382
0,66380.6,0.00423556
0,66717.6,0.15229
0,67054.3,0.0405461
0,67390.8,0.219274
0,67727,0.162687
0,68063.6,0.472983
0,68400.4,0.0921533
0,68736.9,0.0673658
0,69073.5,0.133804
0,69409.8,0.163008
0,69746.9,0.759218
0,70084.5,0.524105
0,70421.8,0.292273
0,70759.5,0.436243
0,71096.7,0.184133
0,71433.2,0.180821
0,71770.1,0.537339
0,72107.3,0.478253
0,72444.5,0.643269
0,72782.4,0.0923049
0,73119.2,0.0338283
0,73456,0.3881
0,73792.8,0.322396
0,74129.9,0.103032
0,74466.9,0.211145
0,74803.6,0.190746
0,75140.7,0.392331
0,75477.9,0.0232045
0,75814.4,0.2133
0,76150.5,0.130016
0,76487.1,0.879658
0,76825.5,0.081437
0,77161.8,0.288847
0,77498.9,0.648197
0,77836.6,0.029802
0,78173.5,0.0178518
0,78510.5,0.0962428
0,78847.3,0.1037
0,79183.7,0.224611
0,79519.5,0.16807
0,79855.5,0.255732
0,80192.8,0.370877
0,80529,0.185444
0,80866,0.103729
0,81203.3,0.203715
0,81539.7,0.441219
0,81877,0.201534
0,82213.3,0.432734
0,82550.7,0.0462509
0,82887.2,0.483982
0,83224.7,0.158811
0,83561.7,0.143914
0,83898.9,0.0931341
0,84235.6,0.0960485
0,84572.2,0.339928
0,84908.4,0.133862
0,85244.9,0.0867524
0,85581.4,0.10788
0,85917.5,0.0889208
0,86253.9,0.0238352
0,86590.2,0.0379062
0,86926.8,0.27913
0,87263.3,0.416891
0,87600.5,0.0757505
0,87937.1,0.00114435
0,88273.3,0.225118
0,88609.8,0.641344
0,88947.5,0.173039
0,89283.8,0.178705
0,89620.3,0.303262
0,89957,0.0214159
0,90293.7,0.185312
0,90631.1,0.554228
0,90966.7,0.188744
0,91302.9,0.101171
0,91639.5,0.618919
0,91977,0.379285
0,92313.3,0.124738
0,92649.5,0.170094
0,92985.4,0.483945
0,93322.9,0.330917
0,93659.7,0.427571
0,93997.3,0.103742
0,94334,0.147345
0,94670.9,0.238073
0,95007.9,0.804679
0,95345.1,0.441914
0,95681.4,0.096217
0,96017.4,0.275961
0,96354,0.00692773
0,96690.6,0.295058
0,97027.8,0.442789
0,97364.9,0.910808
0,97700.2,0.556219
0,98036.2,0.497963
0,98373.6,0.372384
0,98709.5,0.115021
0,99046.4,0.183277
0,99382.5,0.0508064
0,99719.9,0.303079
0,100056,0.319095
0,100393,0.569371
0,100728,0.277001
0,101065,0.675003
0,101402,0.745387
0,101738,0.750885
0,102075,0.841022
0,102413,0.363634
0,102750,0.406784
0,103086,0.0994626
0,103422,0.301348
0,103759,0.0471971
0,104095,0.860425
0,104432,0.19329
0,104768,0.405512
0,105105,0.71036
0,105442,0.136942
0,105779,0.882971
0,106116,0.60909
0,106453,1.09016
0,106791,0.681962
0,107128,0.78375
0,107465,0.19551
0,107802,0.0644983
0,108138,0.518855
0,108475,0.0545211
0,108812,0.274707
0,109149,0.0791612
0,109486,0.110123
0,109822,0.623305
0,110158,0.40664
0,110494,0.370696
0,110831,0.374187
0,111168,0.102038
0,111504,0.134018
0,111841,0.331953
0,112177,0.0466558
0,112514,0.759912
0,112849,0.192081
0,113186,0.331644
0,113523,0.530573
0,113858,0.122958
0,114194,0.28625
0,114532,0.0378102
0,114868,0.152719
0,115205,0.177155
0,115541,0.337978
0,115878,0.351848
0,116214,0.298881
0,116551,0.13266
0,116888,0.115495
0,117225,0.73747
0,117560,0.646243
0,117896,0.219216
0,118232,0.0255778
0,118568,0.156318
0,118905,0.235316
0,119241,0.330542
0,119578,0.478566
0,119914,0.289334
