time,x,Давление
0,0,0
0,707.86,0
0,1415.72,0
0,2123.58,0
0,2831.44,0
0,3539.3,0
0,4247.16,0
0,4955.02,0
0,5662.88,0
0,6370.74,0
0,7078.6,0
0,7786.46,0
0,8494.32,0
0,9202.18,0
0,9910.04,0
0,10617.9,0
0,11325.8,0
0,12033.6,0
0,12741.5,0
0,13449.3,0
0,14157.2,0
0,14865.1,0
0,15572.9,0
0,16280.8,0
0,16988.6,0
0,17696.5,0
0,18404.4,0
0,19112.2,0
0,19820.1,0
0,20527.9,0
0,21235.8,0
0,21943.7,0
0,22651.5,0
0,23359.4,0
0,24067.2,0
0,24775.1,0
0,25483,0
0,26190.8,0
0,26898.7,0
0,27606.5,0
0,28314.4,0
0,29022.3,0
0,29730.1,0
0,30438,0
0,31145.8,0
0,31853.7,0
0,32561.6,0
0,33269.4,0
0,33977.3,0
0,34685.1,0
0,35393,0
0,36100.9,0
0,36808.7,0
0,37516.6,0
0,38224.4,0
0,38932.3,0
0,39640.2,0
0,40348,0
0,41055.9,0
0,41763.7,0
0,42471.6,0
0,43179.5,0
0,43887.3,0
0,44595.2,0
0,45303,0
0,46010.9,0
0,46718.8,0
0,47426.6,0
0,48134.5,0
0,48842.3,0
0,49550.2,0
0,50258.1,0
0,50965.9,0
0,51673.8,0
0,52381.6,0
0,53089.5,0
0,53797.4,0
0,54505.2,0
0,55213.1,0
0,55920.9,0
0,56628.8,0
0,57336.7,0
0,58044.5,0
0,58752.4,0
0,59460.2,0
0,60168.1,0
0,60876,0
0,61583.8,0
0,62291.7,0
0,62999.5,0
0,63707.4,0
0,64415.3,0
0,65123.1,0
0,65831,0
0,66538.8,0
0,67246.7,0
0,67954.6,0
0,68662.4,0
0,69370.3,0
0,70078.1,0
0,70786,0
1111.9,0,-22238.1
1111.9,707.86,-21829
1111.9,1415.72,-21386.9
1111.9,2123.58,-20944.8
1111.9,2831.44,-20502.7
1111.9,3539.3,-20060.5
1111.9,4247.16,-19618.4
1111.9,4955.02,-19176.3
1111.9,5662.88,-18734.2
1111.9,6370.74,-18292.1
1111.9,7078.6,-17850
1111.9,7786.46,-17407.9
1111.9,8494.32,-16965.8
1111.9,9202.18,-16523.7
1111.9,9910.04,-16081.6
1111.9,10617.9,-15639.5
1111.9,11325.8,-15197.4
1111.9,12033.6,-14755.3
1111.9,12741.5,-14313.2
1111.9,13449.3,-13871.1
1111.9,14157.2,-13429
1111.9,14865.1,-12986.9
1111.9,15572.9,-12544.7
1111.9,16280.8,-12102.6
1111.9,16988.6,-11660.5
1111.9,17696.5,-11218.4
1111.9,18404.4,-10776.3
1111.9,19112.2,-10334.2
1111.9,19820.1,-9892.11
1111.9,20527.9,-9450.01
1111.9,21235.8,-9007.9
1111.9,21943.7,-8565.8
1111.9,22651.5,-8123.69
1111.9,23359.4,-7681.58
1111.9,24067.2,-7239.48
1111.9,24775.1,-6797.37
1111.9,25483,-6355.27
1111.9,26190.8,-5913.16
1111.9,26898.7,-5471.06
1111.9,27606.5,-5028.95
1111.9,28314.4,-4586.84
1111.9,29022.3,-4144.74
1111.9,29730.1,-3702.63
1111.9,30438,-3260.53
1111.9,31145.8,-2818.42
1111.9,31853.7,-2376.31
1111.9,32561.6,-1934.21
1111.9,33269.4,-1492.1
1111.9,33977.3,-1050
1111.9,34685.1,-607.891
1111.9,35393,-165.785
1111.9,36100.9,276.32
1111.9,36808.7,718.426
1111.9,37516.6,1160.53
1111.9,38224.4,1602.64
1111.9,38932.3,2044.74
1111.9,39640.2,2486.85
1111.9,40348,2928.96
1111.9,41055.9,3371.06
1111.9,41763.7,3813.17
1111.9,42471.6,4255.27
1111.9,43179.5,4697.38
1111.9,43887.3,5139.48
1111.9,44595.2,5581.59
1111.9,45303,6023.7
1111.9,46010.9,6465.8
1111.9,46718.8,6907.91
1111.9,47426.6,7350.01
1111.9,48134.5,7792.12
1111.9,48842.3,8234.23
1111.9,49550.2,8676.33
1111.9,50258.1,9118.44
1111.9,50965.9,9560.54
1111.9,51673.8,10002.6
1111.9,52381.6,10444.8
1111.9,53089.5,10886.9
1111.9,53797.4,11329
1111.9,54505.2,11771.1
1111.9,55213.1,12213.2
1111.9,55920.9,12655.3
1111.9,56628.8,13097.4
1111.9,57336.7,13539.5
1111.9,58044.5,13981.6
1111.9,58752.4,14423.7
1111.9,59460.2,14865.8
1111.9,60168.1,15307.9
1111.9,60876,15750
1111.9,61583.8,16192.1
1111.9,62291.7,16634.2
1111.9,62999.5,17076.3
1111.9,63707.4,17518.4
1111.9,64415.3,17960.6
1111.9,65123.1,18402.7
1111.9,65831,18844.8
1111.9,66538.8,19286.9
1111.9,67246.7,19729
1111.9,67954.6,20171.1
1111.9,68662.4,20613.2
1111.9,69370.3,21055.3
1111.9,70078.1,21497.4
1111.9,70786,21939.5
2132.98,0,-42659.6
2132.98,707.86,-41888.5
2132.98,1415.72,-41049.1
2132.98,2123.58,-40174.3
2132.98,2831.44,-39299.6
2132.98,3539.3,-38424.8
2132.98,4247.16,-37550.1
2132.98,4955.02,-36675.3
2132.98,5662.88,-35800.5
2132.98,6370.74,-34925.8
2132.98,7078.6,-34051
2132.98,7786.46,-33176.2
2132.98,8494.32,-32301.5
2132.98,9202.18,-31426.7
2132.98,9910.04,-30552
2132.98,10617.9,-29677.2
2132.98,11325.8,-28802.4
2132.98,12033.6,-27927.7
2132.98,12741.5,-27052.9
2132.98,13449.3,-26178.1
2132.98,14157.2,-25303.4
2132.98,14865.1,-24428.6
2132.98,15572.9,-23553.9
2132.98,16280.8,-22679.1
2132.98,16988.6,-21804.3
2132.98,17696.5,-20929.6
2132.98,18404.4,-20054.8
2132.98,19112.2,-19180
2132.98,19820.1,-18305.3
2132.98,20527.9,-17430.5
2132.98,21235.8,-16555.8
2132.98,21943.7,-15681
2132.98,22651.5,-14806.2
2132.98,23359.4,-13931.5
2132.98,24067.2,-13056.7
2132.98,24775.1,-12181.9
2132.98,25483,-11307.2
2132.98,26190.8,-10432.4
2132.98,26898.7,-9557.65
2132.98,27606.5,-8682.89
2132.98,28314.4,-7808.13
2132.98,29022.3,-6933.36
2132.98,29730.1,-6058.6
2132.98,30438,-5183.84
2132.98,31145.8,-4309.07
2132.98,31853.7,-3434.31
2132.98,32561.6,-2559.55
2132.98,33269.4,-1684.79
2132.98,33977.3,-810.025
2132.98,34685.1,64.7381
2132.98,35393,939.501
2132.98,36100.9,1814.26
2132.98,36808.7,2689.03
2132.98,37516.6,3563.79
2132.98,38224.4,4438.55
2132.98,38932.3,5313.31
2132.98,39640.2,6188.08
2132.98,40348,7062.84
2132.98,41055.9,7937.6
2132.98,41763.7,8812.36
2132.98,42471.6,9687.13
2132.98,43179.5,10561.9
2132.98,43887.3,11436.7
2132.98,44595.2,12311.4
2132.98,45303,13186.2
2132.98,46010.9,14060.9
2132.98,46718.8,14935.7
2132.98,47426.6,15810.5
2132.98,48134.5,16685.2
2132.98,48842.3,17560
2132.98,49550.2,18434.8
2132.98,50258.1,19309.5
2132.98,50965.9,20184.3
2132.98,51673.8,21059
2132.98,52381.6,21933.8
2132.98,53089.5,22808.6
2132.98,53797.4,23683.3
2132.98,54505.2,24558.1
2132.98,55213.1,25432.9
2132.98,55920.9,26307.6
2132.98,56628.8,27182.4
2132.98,57336.7,28057.1
2132.98,58044.5,28931.9
2132.98,58752.4,29806.7
2132.98,59460.2,30681.4
