time,x,Плотность,Вязкость,Давление
0,0,900,1.5e-05,6e+06
0,5,900,1.5e-05,5.99548e+06
0,10,900,1.5e-05,5.99096e+06
0,15,900,1.5e-05,5.98643e+06
0,20,900,1.5e-05,5.98191e+06
0,25,900,1.5e-05,5.97739e+06
0,30,900,1.5e-05,5.97287e+06
0,35,900,1.5e-05,5.96834e+06
0,40,900,1.5e-05,5.96382e+06
0,45,900,1.5e-05,5.9593e+06
0,50,900,1.5e-05,5.95478e+06
0,55,900,1.5e-05,5.95026e+06
0,60,900,1.5e-05,5.94573e+06
0,65,900,1.5e-05,5.94121e+06
0,70,900,1.5e-05,5.93669e+06
0,75,900,1.5e-05,5.93217e+06
0,80,900,1.5e-05,5.92765e+06
0,85,900,1.5e-05,5.92312e+06
0,90,900,1.5e-05,5.9186e+06
0,95,900,1.5e-05,5.91408e+06
0,100,900,1.5e-05,5.90956e+06
0,105,900,1.5e-05,5.90503e+06
0,110,900,1.5e-05,5.90051e+06
0,115,900,1.5e-05,5.89599e+06
0,120,900,1.5e-05,5.89147e+06
0,125,900,1.5e-05,5.88695e+06
0,130,900,1.5e-05,5.88242e+06
0,135,900,1.5e-05,5.8779e+06
0,140,900,1.5e-05,5.87338e+06
0,145,900,1.5e-05,5.86886e+06
0,150,900,1.5e-05,5.86433e+06
0,155,900,1.5e-05,5.85981e+06
0,160,900,1.5e-05,5.85529e+06
0,165,900,1.5e-05,5.85077e+06
0,170,900,1.5e-05,5.84625e+06
0,175,900,1.5e-05,5.84172e+06
0,180,900,1.5e-05,5.8372e+06
0,185,900,1.5e-05,5.83268e+06
0,190,900,1.5e-05,5.82816e+06
0,195,900,1.5e-05,5.82363e+06
0,200,900,1.5e-05,5.81911e+06
0,205,900,1.5e-05,5.81459e+06
0,210,900,1.5e-05,5.81007e+06
0,215,900,1.5e-05,5.80555e+06
0,220,900,1.5e-05,5.80102e+06
0,225,900,1.5e-05,5.7965e+06
0,230,900,1.5e-05,5.79198e+06
0,235,900,1.5e-05,5.78746e+06
0,240,900,1.5e-05,5.78294e+06
0,245,900,1.5e-05,5.77841e+06
0,250,900,1.5e-05,5.77389e+06
0,255,900,1.5e-05,5.76937e+06
0,260,900,1.5e-05,5.76485e+06
0,265,900,1.5e-05,5.76032e+06
0,270,900,1.5e-05,5.7558e+06
0,275,900,1.5e-05,5.75128e+06
0,280,900,1.5e-05,5.74676e+06
0,285,900,1.5e-05,5.74224e+06
0,290,900,1.5e-05,5.73771e+06
0,295,900,1.5e-05,5.73319e+06
0,300,900,1.5e-05,5.72867e+06
0,305,900,1.5e-05,5.72415e+06
0,310,900,1.5e-05,5.71962e+06
0,315,900,1.5e-05,5.7151e+06
0,320,900,1.5e-05,5.71058e+06
0,325,900,1.5e-05,5.70606e+06
0,330,900,1.5e-05,5.70154e+06
0,335,900,1.5e-05,5.69701e+06
0,340,900,1.5e-05,5.69249e+06
0,345,900,1.5e-05,5.68797e+06
0,350,900,1.5e-05,5.68345e+06
0,355,900,1.5e-05,5.67893e+06
0,360,900,1.5e-05,5.6744e+06
0,365,900,1.5e-05,5.66988e+06
0,370,900,1.5e-05,5.66536e+06
0,375,900,1.5e-05,5.66084e+06
0,380,900,1.5e-05,5.65631e+06
0,385,900,1.5e-05,5.65179e+06
0,390,900,1.5e-05,5.64727e+06
