time,x,Плотность,Вязкость
0,0,900,1.5e-05
0,1000,900,1.5e-05
0,2000,900,1.5e-05
0,3000,900,1.5e-05
0,4000,900,1.5e-05
0,5000,900,1.5e-05
0,6000,900,1.5e-05
0,7000,900,1.5e-05
0,8000,900,1.5e-05
0,9000,900,1.5e-05
0,10000,900,1.5e-05
0,11000,900,1.5e-05
0,12000,900,1.5e-05
0,13000,900,1.5e-05
0,14000,900,1.5e-05
0,15000,900,1.5e-05
0,16000,900,1.5e-05
0,17000,900,1.5e-05
0,18000,900,1.5e-05
0,19000,900,1.5e-05
0,20000,900,1.5e-05
0,21000,900,1.5e-05
0,22000,900,1.5e-05
0,23000,900,1.5e-05
0,24000,900,1.5e-05
0,25000,900,1.5e-05
0,26000,900,1.5e-05
0,27000,900,1.5e-05
0,28000,900,1.5e-05
0,29000,900,1.5e-05
0,30000,900,1.5e-05
0,31000,900,1.5e-05
0,32000,900,1.5e-05
0,33000,900,1.5e-05
0,34000,900,1.5e-05
0,35000,900,1.5e-05
0,36000,900,1.5e-05
0,37000,900,1.5e-05
0,38000,900,1.5e-05
0,39000,900,1.5e-05
0,40000,900,1.5e-05
0,41000,900,1.5e-05
0,42000,900,1.5e-05
0,43000,900,1.5e-05
0,44000,900,1.5e-05
0,45000,900,1.5e-05
0,46000,900,1.5e-05
0,47000,900,1.5e-05
0,48000,900,1.5e-05
0,49000,900,1.5e-05
0,50000,900,1.5e-05
0,51000,900,1.5e-05
0,52000,900,1.5e-05
0,53000,900,1.5e-05
0,54000,900,1.5e-05
0,55000,900,1.5e-05
0,56000,900,1.5e-05
0,57000,900,1.5e-05
0,58000,900,1.5e-05
0,59000,900,1.5e-05
0,60000,900,1.5e-05
0,61000,900,1.5e-05
0,62000,900,1.5e-05
0,63000,900,1.5e-05
0,64000,900,1.5e-05
0,65000,900,1.5e-05
0,66000,900,1.5e-05
0,67000,900,1.5e-05
0,68000,900,1.5e-05
0,69000,900,1.5e-05
0,70000,900,1.5e-05
0,71000,900,1.5e-05
0,72000,900,1.5e-05
0,73000,900,1.5e-05
0,74000,900,1.5e-05
0,75000,900,1.5e-05
0,76000,900,1.5e-05
0,77000,900,1.5e-05
0,78000,900,1.5e-05
0,79000,900,1.5e-05
0,80000,900,1.5e-05
0,81000,900,1.5e-05
0,82000,900,1.5e-05
0,83000,900,1.5e-05
0,84000,900,1.5e-05
0,85000,900,1.5e-05
0,86000,900,1.5e-05
0,87000,900,1.5e-05
0,88000,900,1.5e-05
0,89000,900,1.5e-05
0,90000,900,1.5e-05
0,91000,900,1.5e-05
0,92000,900,1.5e-05
0,93000,900,1.5e-05
0,94000,900,1.5e-05
0,95000,900,1.5e-05
0,96000,900,1.5e-05
0,97000,900,1.5e-05
0,98000,900,1.5e-05
0,99000,900,1.5e-05
0,100000,900,1.5e-05
769.69,0,900,1.5e-05
769.69,1000,900,1.5e-05
769.69,2000,900,1.5e-05
769.69,3000,900,1.5e-05
769.69,4000,900,1.5e-05
769.69,5000,900,1.5e-05
769.69,6000,900,1.5e-05
769.69,7000,900,1.5e-05
769.69,8000,900,1.5e-05
