Время,Время моделирования,Квазистац - ступеньки
0,0,-21.5649
0,338.018,-18.6855
0,675.214,-8.34545
0,1012.07,-4.30391
0,1348.5,-3.67811
0,1685.11,7.4448
0,2020.85,-6.60104
0,2357.38,-15.7451
0,2694.6,-13.8904
0,3031.35,-7.32335
0,3367.88,-11.5936
0,3704.92,-8.09584
0,4042.03,-24.8965
0,4380.19,-0.324574
0,4716.32,-0.313073
0,5052.5,-5.83743
0,5389.42,-11.8146
0,5726.53,-7.66331
0,6063.31,-7.33082
0,6399.62,-5.28857
0,6736.09,-6.84861
0,7072.98,-7.67923
0,7410.33,7.18646
0,7746.46,-11.4882
0,8083.78,-4.63253
0,8420.67,-12.9393
0,8757.98,-9.16453
0,9094.95,3.74237
0,9430.96,1.55415
0,9767.38,-14.621
0,10104.8,0.173146
0,10441.1,-7.61032
0,10778.2,-9.89816
0,11115.6,-2.27723
0,11452.5,-12.0055
0,11790.2,0.0807284
0,12126.3,-3.28864
0,12463,-4.67728
0,12800.1,-2.73432
0,13137.5,-7.07559
0,13474.4,-12.9085
0,13811.7,2.8059
0,14147.9,-7.14916
0,14485.7,3.01562
0,14822.2,5.31269
0,15157.9,-16.3528
0,15496.2,-1.95062
0,15833.4,-7.91243
0,16170.3,-9.91571
0,16507.1,-7.00282
0,16844.8,-27.7401
0,17183.7,5.41103
0,17520.3,-15.1091
0,17857.7,-5.70592
0,18194.3,-8.04042
0,18532.1,-11.3611
0,18869.5,-11.1906
0,19207.1,-15.3371
0,19544.8,-21.2389
0,19882.5,-5.22299
0,20219.3,0.646558
0,20556,-8.62999
0,20893.3,-20.1167
0,21231.9,-9.47624
0,21569.6,-9.6956
0,21906.5,8.89058
0,22242.8,-17.294
0,22580.6,-17.844
0,22918.6,-15.7746
0,23256.4,-9.41102
0,23594.1,-3.63878
0,23931.1,3.88086
0,24267.7,-0.607938
0,24604.5,-0.619596
0,24941.7,0.561774
0,25279,13.5785
0,25615.2,-9.49884
0,25953,-0.918079
0,26290.5,0.83104
0,26627.4,-10.0997
0,26965,15.0111
0,27300.6,-9.24119
0,27638.8,-3.08589
0,27975.8,-9.65078
0,28313.1,-0.805382
0,28650,3.66263
0,28986.6,4.09105
0,29323.1,-6.78158
