Время,Время моделирования,Стац - текущая реология
0,0,-21.5649
0,500,-14.1062
0,1000,-0.458862
0,1500,-7.45467
0,2000,-15.8005
0,2500,-0.317291
0,3000,-12.1535
0,3500,-6.51497
0,4000,-4.40246
0,4500,-6.2937
0,5000,1.13903
0,5500,-11.6249
0,6000,-22.3491
0,6500,-11.3655
0,7000,-11.5413
0,7500,-0.535625
0,8000,-7.03996
0,8500,-13.6545
0,9000,6.45325
0,9500,-2.79447
0,10000,-1.81182
0,10500,-4.52056
0,11000,3.704
0,11500,-2.64051
0,12000,-12.9474
0,12500,-12.8453
0,13000,-7.95172
0,13500,-12.1962
0,14000,-5.06236
0,14500,-11.4283
0,15000,-26.803
0,15500,-10.314
0,16000,-18.3811
0,16500,11.9054
0,17000,-5.13287
0,17500,-32.1299
0,18000,-15.5682
0,18500,-2.8838
0,19000,-18.0724
0,19500,-8.8079
0,20000,-28.014
0,20500,-14.9129
0,21000,-16.935
0,21500,-14.1332
0,22000,-15.5078
0,22500,3.79129
0,23000,-12.6215
0,23500,-7.74354
0,24000,-16.6166
0,24500,-29.127
0,25000,-32.8913
0,25500,-15.5943
0,26000,-18.6786
0,26500,-23.3051
0,27000,-9.63023
0,27500,-24.7905
0,28000,-18.4262
0,28500,-18.8369
0,29000,-7.43464
0,29500,-8.81622
0,30000,-12.3431
0,30500,-21.0933
0,31000,-0.916978
0,31500,-6.66025
0,32000,-34.7192
0,32500,-21.0938
0,33000,-20.2621
0,33500,-18.0084
0,34000,-13.1319
0,34500,-14.9678
0,35000,-6.90662
0,35500,-5.37913
0,36000,-18.6529
0,36500,-24.7413
0,37000,-18.2124
0,37500,-15.3077
0,38000,-13.7253
0,38500,-19.8937
0,39000,-29.864
0,39500,-16.1213
0,40000,-12.6201
0,40500,-17.8755
0,41000,-13.6353
0,41500,-16.4044
0,42000,-26.6196
0,42500,-25.4096
0,43000,-23.8264
0,43500,-9.1418
0,44000,-19.0873
0,44500,-11.7956
0,45000,-19.0316
0,45500,-1.87618
0,46000,2.03758
0,46500,-6.58207
0,47000,-28.5946
0,47500,-14.8144
0,48000,-22.7434
0,48500,3.9852
0,49000,-17.8089
0,49500,-2.22035
0,50000,-16.8405
0,50500,-8.72298
0,51000,-10.0613
0,51500,-0.630379
0,52000,14.3686
0,52500,-1.34411
0,53000,10.7692
0,53500,0.526859
0,54000,6.82616
0,54500,6.00622
0,55000,-4.08153
0,55500,-2.0715
0,56000,-5.60526
0,56500,-16.6101
0,57000,-19.9651
0,57500,-12.3235
0,58000,-7.53714
0,58500,-4.77269
0,59000,0.863861
0,59500,-3.39928
0,60000,0.717892
0,60500,-9.15816
0,61000,-5.32238
0,61500,-4.98048
0,62000,5.02158
0,62500,2.35381
0,63000,-25.1758
0,63500,-8.30853
0,64000,-15.8563
0,64500,-4.71051
0,65000,-0.79265
0,65500,-6.41324
0,66000,-20.0576
0,66500,-5.46268
0,67000,-9.92549
0,67500,-18.7605
0,68000,-16.0594
0,68500,-12.0774
0,69000,-1.60243
0,69500,-9.34244
0,70000,-37.5538
0,70500,-26.6938
0,71000,-11.2187
0,71500,-25.695
0,72000,-36.2373
0,72500,-43.081
0,73000,-34.9458
0,73500,-33.6906
0,74000,-20.942
0,74500,-22.4121
0,75000,-36.0186
0,75500,-43.2317
0,76000,-13.4437
0,76500,-45.903
0,77000,-36.7035
0,77500,-40.5001
0,78000,-46.0198
0,78500,-42.4933
0,79000,-32.4513
0,79500,-20.2342
0,80000,-29.7218
0,80500,-18.3729
0,81000,-28.0338
0,81500,-36.5866
0,82000,-39.1907
0,82500,-18.0086
0,83000,-37.3897
0,83500,-28.0187
0,84000,-36.2123
0,84500,-37.8319
0,85000,-23.1292
0,85500,-39.5309
0,86000,-30.3369
0,86500,-41.6841
0,87000,-34.9424
0,87500,-28.7668
0,88000,-32.5893
0,88500,-35.7116
0,89000,-46.1515
0,89500,-38.5852
0,90000,-46.2632
0,90500,-48.5837
0,91000,-39.2832
0,91500,-34.1578
0,92000,-21.1206
0,92500,-15.4274
0,93000,-37.7224
0,93500,-18.4879
0,94000,-24.2297
0,94500,-21.1986
0,95000,-20.5096
0,95500,-37.8871
0,96000,-33.9307
0,96500,-21.2107
0,97000,-27.7675
0,97500,-28.5528
0,98000,-34.178
0,98500,-14.238
0,99000,-21.5339
0,99500,-10.6874
0,100000,-27.8681
0,100500,-15.8123
0,101000,-24.7227
0,101500,-21.6839
0,102000,-12.6149
0,102500,-15.1289
0,103000,-11.0514
0,103500,-18.0008
0,104000,-22.7168
0,104500,-10.6792
0,105000,-29.9422
0,105500,-1.24987
0,106000,-21.0849
0,106500,-6.76576
0,107000,1.47923
0,107500,-3.20777
0,108000,-0.609038
0,108500,-12.1202
0,109000,-6.55673
0,109500,-18.1651
0,110000,0.562616
0,110500,-13.2361
0,111000,1.30289
0,111500,3.17377
0,112000,-14.7521
0,112500,8.02646
0,113000,-3.23185
0,113500,14.5245
0,114000,-4.63148
0,114500,-6.02615
0,115000,10.7755
0,115500,5.53823
0,116000,-5.64866
0,116500,2.48305
0,117000,-0.790767
0,117500,1.32214
0,118000,-9.11238
0,118500,-1.87575
0,119000,-0.509411
0,119500,6.67493
0,120000,10.9742
0,120500,16.1818
0,121000,10.1977
0,121500,3.95323
0,122000,8.66962
0,122500,22.3118
0,123000,5.76134
0,123500,-3.69821
0,124000,4.79826
0,124500,-4.64396
0,125000,29.6006
0,125500,-3.52622
0,126000,18.7393
0,126500,7.19713
0,127000,18.048
0,127500,-2.35456
0,128000,11.9307
0,128500,1.16642
0,129000,7.58878
0,129500,6.70083
0,130000,24.3825
0,130500,-11.835
0,131000,8.79034
0,131500,-8.05999
0,132000,-6.21905
0,132500,-4.92857
0,133000,1.03958
0,133500,-6.15542
0,134000,-7.84862
0,134500,-0.615373
0,135000,6.28058
0,135500,0.728826
0,136000,2.20393
0,136500,15.9511
0,137000,8.00252
0,137500,-3.22102
0,138000,5.74223
0,138500,-0.0953384
0,139000,-6.17077
0,139500,12.6216
0,140000,2.17865
0,140500,-3.09851
0,141000,-6.23135
0,141500,0.0285038
0,142000,0.415972
0,142500,-18.9288
0,143000,10.6139
0,143500,-10.7927
0,144000,-16.4184
0,144500,-7.09204
0,145000,-18.698
0,145500,-16.0781
0,146000,-17.3395
0,146500,-2.30439
0,147000,-12.7612
0,147500,-3.97207
0,148000,-14.1206
0,148500,-18.276
0,149000,-21.0724
0,149500,-12.0517
0,150000,-27.9761
0,150500,-19.4673
0,151000,-24.4353
0,151500,-14.2566
0,152000,-27.4028
0,152500,-15.9057
0,153000,-24.9723
0,153500,-20.3461
0,154000,-26.5102
0,154500,-31.2566
0,155000,-24.4171
0,155500,-20.7851
0,156000,-28.6952
0,156500,-27.8578
0,157000,-31.4179
0,157500,-28.3348
0,158000,-30.5104
0,158500,-23.7426
0,159000,-23.2337
0,159500,-33.1162
0,160000,-27.5357
0,160500,-34.3253
0,161000,-34.304
0,161500,-22.4896
0,162000,-42.6287
0,162500,-29.368
0,163000,-46.3703
0,163500,-30.1514
0,164000,-42.9254
0,164500,-22.187
0,165000,-24.3414
0,165500,-15.7439
0,166000,-33.3093
0,166500,-25.2099
0,167000,-25.4721
0,167500,-19.6265
0,168000,-34.7876
0,168500,-31.3457
0,169000,-18.962
0,169500,-34.393
0,170000,-24.5302
0,170500,-28.4627
0,171000,-22.4238
0,171500,-25.4999
0,172000,-25.2203
0,172500,-12.1417
0,173000,-28.2695
