Время,Время моделирования,Стац - текущая реология
0,0,-21.5649
0,500,-12.3375
0,1000,-5.3187
0,1500,-7.35605
0,2000,-23.7089
0,2500,-0.416128
0,3000,-10.4836
0,3500,-6.41629
0,4000,-2.82528
0,4500,-6.11292
0,5000,1.80539
0,5500,5.14213
0,6000,-16.7234
0,6500,-6.32416
0,7000,1.4718
0,7500,14.524
0,8000,1.75768
0,8500,0.115958
0,9000,28.7784
0,9500,17.9531
0,10000,22.5606
0,10500,16.6698
0,11000,29.5733
0,11500,19.9778
0,12000,8.50663
0,12500,11.7665
0,13000,29.3558
0,13500,24.9256
0,14000,24.5185
0,14500,18.1322
0,15000,2.62457
0,15500,21.2571
0,16000,21.2027
0,16500,48.7549
0,17000,31.9854
0,17500,8.05225
0,18000,23.4204
0,18500,36.5137
0,19000,16.1467
0,19500,20.8884
0,20000,1.34655
0,20500,17.1131
0,21000,10.4013
0,21500,14.4489
0,22000,10.8075
0,22500,23.5877
0,23000,3.43904
0,23500,9.90426
0,24000,4.29151
0,24500,-14.6337
0,25000,-12.0674
0,25500,1.90275
0,26000,-2.77254
0,26500,-9.35132
0,27000,9.06478
0,27500,-11.1761
0,28000,2.3373
0,28500,6.28301
0,29000,1.2874
0,29500,12.3287
0,30000,-4.11382
0,30500,-6.66993
0,31000,2.25882
0,31500,-5.34619
0,32000,-25.809
0,32500,-20.5464
0,33000,-21.3716
0,33500,-24.5573
0,34000,-20.0496
0,34500,-18.7066
0,35000,-17.2228
0,35500,-6.23922
0,36000,-25.8269
0,36500,-26.9813
0,37000,-27.0711
0,37500,-25.8731
0,38000,-22.6976
0,38500,-32.041
0,39000,-41.967
0,39500,-26.8812
0,40000,-21.4883
0,40500,-31.9321
0,41000,-19.4218
0,41500,-18.9148
0,42000,-32.4923
0,42500,-32.5866
0,43000,-26.0544
0,43500,-16.243
0,44000,-24.4795
0,44500,-23.6995
0,45000,-16.2543
0,45500,-8.60426
0,46000,1.47561
0,46500,-6.66583
0,47000,-23.8904
0,47500,-19.846
0,48000,-26.0756
0,48500,-0.59468
0,49000,-20.7638
0,49500,4.35548
0,50000,-18.2174
0,50500,-10.1048
0,51000,-11.4425
0,51500,8.68761
0,52000,16.4481
0,52500,-2.15552
0,53000,13.2129
0,53500,11.2935
0,54000,19.2607
0,54500,20.1619
0,55000,6.91415
0,55500,7.83791
0,56000,13.9706
0,56500,-4.8154
0,57000,7.90261
0,57500,7.97445
0,58000,22.6001
0,58500,19.7917
0,59000,30.5512
0,59500,32.9912
0,60000,38.816
0,60500,29.2904
0,61000,30.2668
0,61500,37.0064
0,62000,50.9578
0,62500,51.6103
0,63000,26.8041
0,63500,37.8526
0,64000,33.6722
0,64500,48.251
0,65000,47.9428
0,65500,48.5405
0,66000,31.8079
0,66500,55.4137
0,67000,43.8626
0,67500,39.3848
0,68000,42.0983
0,68500,46.1516
0,69000,58.3808
0,69500,49.0069
0,70000,15.944
0,70500,34.0176
0,71000,44.0319
0,71500,32.4883
0,72000,18.2662
0,72500,3.15215
0,73000,8.04853
0,73500,8.46846
0,74000,17.9405
0,74500,9.9001
0,75000,-6.03812
0,75500,-7.82852
0,76000,11.0593
0,76500,-23.3675
0,77000,-15.9087
0,77500,-24.9171
0,78000,-30.4785
0,78500,-30.4824
0,79000,-16.1095
0,79500,7.2693
0,80000,-18.1307
0,80500,5.26801
0,81000,-2.82204
0,81500,-10.386
0,82000,-30.4431
0,82500,-4.50893
0,83000,-27.2617
0,83500,-15.9355
0,84000,-21.146
0,84500,-24.6064
0,85000,-6.71641
0,85500,-31.0451
0,86000,-17.3469
0,86500,-26.9413
0,87000,-22.0573
0,87500,-20.8505
0,88000,-31.2583
0,88500,-34.4634
0,89000,-38.8567
0,89500,-37.9119
0,90000,-44.4098
0,90500,-43.4118
0,91000,-40.8504
0,91500,-35.7276
0,92000,-24.1786
0,92500,-16.8063
0,93000,-42.5518
0,93500,-21.5584
0,94000,-22.3242
0,94500,-20.9675
0,95000,-26.7394
0,95500,-34.517
0,96000,-36.8615
0,96500,-27.5233
0,97000,-27.636
0,97500,-36.2454
0,98000,-38.9844
0,98500,-22.8496
0,99000,-23.1639
0,99500,-17.1128
0,100000,-28.6158
0,100500,-17.8713
0,101000,4.84773
0,101500,-13.924
0,102000,-11.4242
0,102500,-2.37383
0,103000,6.76627
0,103500,-9.83808
0,104000,-14.3729
0,104500,2.39158
0,105000,-23.6939
0,105500,12.3032
0,106000,-22.3192
0,106500,4.27852
0,107000,-5.49559
0,107500,-8.85465
0,108000,-3.37952
0,108500,-21.7173
0,109000,-16.3294
0,109500,-32.9597
0,110000,-14.5148
0,110500,-25.182
0,111000,-13.8255
0,111500,-10.3633
0,112000,-31.8885
0,112500,-10.777
0,113000,-20.454
0,113500,-4.18128
0,114000,-23.2922
0,114500,-11.4545
0,115000,10.3659
0,115500,-9.51449
0,116000,-23.789
0,116500,-4.25812
0,117000,-14.2327
0,117500,-17.1175
0,118000,-24.2786
0,118500,-20.2969
0,119000,-15.9454
0,119500,-12.0444
0,120000,-2.81665
0,120500,0.414143
0,121000,-10.2857
0,121500,-9.81904
0,122000,-10.1888
0,122500,4.90847
0,123000,-11.1032
0,123500,-18.9322
0,124000,-10.3797
0,124500,-21.2302
0,125000,12.7351
0,125500,-19.9015
0,126000,9.01216
0,126500,1.09548
0,127000,10.3227
0,127500,-14.7322
0,128000,6.28359
0,128500,0.978428
0,129000,10.7383
0,129500,13.7
0,130000,30.1206
0,130500,-1.31747
0,131000,23.4486
0,131500,6.67928
0,132000,8.73945
0,132500,11.876
0,133000,21.3561
0,133500,12.6897
0,134000,11.3732
0,134500,20.2288
0,135000,27.7853
0,135500,27.0135
0,136000,46.9866
0,136500,44.5103
0,137000,41.4871
0,137500,30.4906
0,138000,44.5455
0,138500,38.6522
0,139000,29.3677
0,139500,49.9751
0,140000,43.5951
0,140500,35.5795
0,141000,32.3397
0,141500,39.8961
0,142000,32.9449
0,142500,73.1959
0,143000,50.6123
0,143500,26.1835
0,144000,17.4572
0,144500,28.4989
0,145000,13.3439
0,145500,17.3748
0,146000,19.0877
0,146500,34.141
0,147000,20.4041
0,147500,29.2189
0,148000,15.8219
0,148500,16.2039
0,149000,10.5792
0,149500,18.081
0,150000,3.41442
0,150500,9.02599
0,151000,7.07424
0,151500,14.3238
0,152000,-0.937749
0,152500,15.3395
0,153000,-2.99768
0,153500,4.24993
0,154000,-4.96497
0,154500,-6.55227
0,155000,-2.9562
0,155500,-4.27849
0,156000,-3.00897
0,156500,-2.25645
0,157000,-12.2542
0,157500,-15.4222
0,158000,-11.489
0,158500,-12.7421
0,159000,-10.6408
0,159500,-20.9758
0,160000,-16.8091
0,160500,-23.7457
0,161000,-23.7772
0,161500,-11.7429
0,162000,-34.9979
0,162500,-18.6572
0,163000,-40.691
0,163500,-24.3407
0,164000,-37.5324
0,164500,-11.8215
0,165000,-22.5417
0,165500,-5.65631
0,166000,-28.1723
0,166500,-23.5961
0,167000,-20.5063
0,167500,-18.0852
0,168000,-35.0322
0,168500,-31.6712
0,169000,-16.1202
0,169500,-30.0941
0,170000,-21.7951
0,170500,-27.307
0,171000,-23.1629
0,171500,-26.4375
0,172000,-20.9261
0,172500,-10.9877
0,173000,-27.3183
0,173500,-33.0045
0,174000,-30.6512
0,174500,-8.71897
0,175000,0.0780115
0,175500,-13.6316
0,176000,-16.1371
0,176500,-24.6949
0,177000,-11.8724
0,177500,-12.5472
0,178000,-8.64078
0,178500,-14.6772
0,179000,1.99444
0,179500,-2.70855
0,180000,7.02656
0,180500,-7.70504
0,181000,-16.7903
0,181500,-3.01866
0,182000,-7.70069
0,182500,-3.5547
0,183000,2.29846
0,183500,14.8618
0,184000,-3.93398
0,184500,-7.16945
0,185000,-12.2592
0,185500,11.0618
0,186000,-12.7508
0,186500,3.88236
0,187000,-9.99884
0,187500,12.0591
0,188000,2.94505
0,188500,17.269
0,189000,-1.63978
0,189500,-6.82773
0,190000,1.05437
0,190500,-7.44486
0,191000,0.92518
0,191500,3.96435
0,192000,-11.2861
0,192500,7.76333
0,193000,5.314
0,193500,-9.25856
0,194000,-2.55221
0,194500,-7.78725
0,195000,-1.07053
0,195500,-15.2906
0,196000,-13.9876
0,196500,-22.2887
0,197000,-18.0563
0,197500,-10.0091
0,198000,-18.3901
0,198500,-23.7741
0,199000,-10.7297
0,199500,-15.5904
0,200000,-11.3229
0,200500,-17.093
0,201000,38.2611
0,201500,-0.778459
0,202000,-23.5264
0,202500,-11.8065
0,203000,-20.762
0,203500,-7.51047
0,204000,-6.87513
0,204500,-15.6337
0,205000,-19.0123
0,205500,-4.04663
0,206000,-12.7861
0,206500,-1.86162
0,207000,-10.3751
0,207500,-13.3669
0,208000,-9.12323
0,208500,-9.29762
0,209000,-19.5447
0,209500,-13.4855
0,210000,-18.0118
0,210500,-26.6868
0,211000,-18.623
0,211500,-9.87446
0,212000,-6.19186
0,212500,-6.55919
0,213000,-30.7936
0,213500,-6.70085
0,214000,-8.92206
0,214500,-12.4701
0,215000,-2.51803
0,215500,-21.1403
0,216000,-22.1022
0,216500,-20.0656
0,217000,-17.5464
0,217500,-10.111
0,218000,4.47141
0,218500,-18.0904
0,219000,-22.259
0,219500,-22.0519
0,220000,-13.9663
0,220500,-9.52971
0,221000,-10.2069
0,221500,-8.44848
0,222000,-17.3457
0,222500,-19.9421
0,223000,-9.44267
0,223500,-12.7232
0,224000,-9.20652
0,224500,-16.8423
0,225000,-14.0449
0,225500,-15.3318
0,226000,-13.6938
0,226500,-16.3093
0,227000,-24.4039
0,227500,-5.68936
0,228000,-22.3247
0,228500,-9.61214
0,229000,-1.00413
0,229500,-8.28819
0,230000,-10.1675
0,230500,-15.3218
0,231000,-0.707026
0,231500,-8.26427
0,232000,-3.45389
0,232500,-3.75961
0,233000,-15.4542
0,233500,-10.3738
0,234000,-5.08449
0,234500,-6.07374
0,235000,-16.1134
0,235500,-3.86368
0,236000,-8.25039
0,236500,-5.13484
0,237000,-3.99413
0,237500,-2.72504
0,238000,-3.57316
0,238500,-6.64112
0,239000,-9.07114
0,239500,-3.36145
0,240000,0.802441
0,240500,-3.2388
0,241000,3.78232
