Время,Время моделирования,Стац - средняя реология
0,0,-28.141
0,500,-20.7075
0,1000,-7.08762
0,1500,-14.0698
0,2000,-22.3897
0,2500,-6.94907
0,3000,-18.7524
0,3500,-13.1348
0,4000,-11.0244
0,4500,-12.9129
0,5000,-5.48708
0,5500,-18.2198
0,6000,-28.9418
0,6500,-17.9558
0,7000,-18.1389
0,7500,-7.14589
0,8000,-13.6253
0,8500,-20.243
0,9000,-0.198721
0,9500,-9.40388
0,10000,-8.41946
0,10500,-11.1207
0,11000,-2.92093
0,11500,-9.26608
0,12000,-19.5398
0,12500,-19.4394
0,13000,-14.5722
0,13500,-18.8
0,14000,-11.6861
0,14500,-18.0259
0,15000,-33.3696
0,15500,-16.9129
0,16000,-24.9835
0,16500,5.25537
0,17000,-11.7428
0,17500,-38.687
0,18000,-22.1755
0,18500,-9.52575
0,19000,-24.6653
0,19500,-15.4257
0,20000,-34.5981
0,20500,-21.5003
0,21000,-23.5387
0,21500,-20.7465
0,22000,-22.1235
0,22500,-2.85518
0,23000,-19.2427
0,23500,-14.3432
0,24000,-23.2143
0,24500,-35.6972
0,25000,-39.4622
0,25500,-22.2101
0,26000,-25.2756
0,26500,-29.8918
0,27000,-16.261
0,27500,-31.378
0,28000,-25.0541
0,28500,-25.4251
0,29000,-14.0517
0,29500,-15.4457
0,30000,-18.9425
0,30500,-27.6877
0,31000,-7.55325
0,31500,-13.2891
0,32000,-41.2896
0,32500,-27.7009
0,33000,-26.8501
0,33500,-24.6316
0,34000,-19.7466
0,34500,-21.5826
0,35000,-13.5377
0,35500,-12.0281
0,36000,-25.2466
0,36500,-31.3651
0,37000,-24.819
0,37500,-21.9205
0,38000,-20.3424
0,38500,-26.4949
0,39000,-36.4405
0,39500,-22.7306
0,40000,-19.234
0,40500,-24.4785
0,41000,-20.2537
0,41500,-23.0079
0,42000,-33.223
0,42500,-32.0059
0,43000,-30.4148
0,43500,-15.7605
0,44000,-25.6841
0,44500,-18.4154
0,45000,-25.6301
0,45500,-8.5172
0,46000,-4.60574
0,46500,-13.2167
0,47000,-35.1746
0,47500,-21.4291
0,48000,-29.3325
0,48500,-2.66859
0,49000,-24.3964
0,49500,-8.83989
0,50000,-23.4229
0,50500,-15.3301
0,51000,-16.6654
0,51500,-7.26012
0,52000,7.71216
0,52500,-7.97348
0,53000,4.11468
0,53500,-6.1132
0,54000,0.179437
0,54500,-0.63214
0,55000,-10.6909
0,55500,-8.67761
0,56000,-12.2186
0,56500,-23.1928
0,57000,-26.5541
0,57500,-18.9256
0,58000,-14.1421
0,58500,-11.3811
0,59000,-5.7598
0,59500,-10.0162
0,60000,-5.90176
0,60500,-15.7731
0,61000,-11.9285
0,61500,-11.5738
0,62000,-1.63309
0,62500,-4.29359
0,63000,-31.7551
0,63500,-14.9254
0,64000,-22.4573
0,64500,-11.3369
0,65000,-7.43583
0,65500,-13.0434
0,66000,-26.659
0,66500,-12.0981
0,67000,-16.5594
0,67500,-25.3762
0,68000,-22.6766
0,68500,-18.7027
0,69000,-8.24981
0,69500,-15.9711
0,70000,-44.1401
0,70500,-33.2803
0,71000,-17.8507
0,71500,-32.3046
0,72000,-42.8242
0,72500,-49.6265
0,73000,-41.5378
0,73500,-40.2734
0,74000,-27.5628
0,74500,-29.0274
0,75000,-42.6092
0,75500,-49.8037
0,76000,-20.1001
0,76500,-52.468
0,77000,-43.302
0,77500,-47.0874
0,78000,-52.5887
0,78500,-49.0791
0,79000,-39.0685
0,79500,-26.8905
0,80000,-36.3372
0,80500,-25.014
0,81000,-34.6585
0,81500,-43.2009
0,82000,-45.7874
0,82500,-24.6518
0,83000,-43.9982
0,83500,-34.6331
0,84000,-42.8172
0,84500,-44.4349
0,85000,-29.7687
0,85500,-46.1415
0,86000,-36.9631
0,86500,-48.2695
0,87000,-41.5588
0,87500,-35.3887
0,88000,-39.2008
0,88500,-42.3164
0,89000,-52.7323
0,89500,-45.1823
0,90000,-52.8379
0,90500,-55.1618
0,91000,-45.8888
0,91500,-40.7745
0,92000,-27.7449
0,92500,-22.0782
0,93000,-44.3223
0,93500,-25.1404
0,94000,-30.8512
0,94500,-27.8433
0,95000,-27.145
0,95500,-44.4887
0,96000,-40.5408
0,96500,-27.8274
0,97000,-34.3854
0,97500,-35.1546
0,98000,-40.7758
0,98500,-20.8755
0,99000,-28.1619
0,99500,-17.3417
0,100000,-34.4859
0,100500,-22.4482
0,101000,-31.3423
0,101500,-28.2925
0,102000,-19.227
0,102500,-21.7604
0,103000,-17.691
0,103500,-24.622
0,104000,-29.3267
0,104500,-17.3201
0,105000,-36.5199
0,105500,-7.88296
0,106000,-27.6815
0,106500,-13.4049
0,107000,-5.16936
0,107500,-9.83537
0,108000,-7.26062
0,108500,-18.7308
0,109000,-13.1657
0,109500,-24.7431
0,110000,-6.0796
0,110500,-19.8251
0,111000,-5.32403
0,111500,-3.46208
0,112000,-21.3419
0,112500,1.37971
0,113000,-9.85512
0,113500,7.87637
0,114000,-11.2566
0,114500,-12.6427
0,115000,4.12431
0,115500,-1.0921
0,116000,-12.2621
0,116500,-4.14714
0,117000,-7.42113
0,117500,-5.29931
0,118000,-15.7143
0,118500,-8.49042
0,119000,-7.10783
0,119500,0.0530496
0,120000,4.34777
0,120500,9.52732
0,121000,3.56202
0,121500,-2.66418
0,122000,2.03415
0,122500,15.6515
0,123000,-0.836192
0,123500,-10.3003
0,124000,-1.82349
0,124500,-11.258
0,125000,22.9143
0,125500,-10.1361
0,126000,12.0814
0,126500,0.582675
0,127000,11.4046
0,127500,-8.9557
0,128000,5.2928
0,128500,-5.44357
0,129000,0.972294
0,129500,0.0678017
0,130000,17.7178
0,130500,-18.4239
0,131000,2.16424
0,131500,-14.6394
0,132000,-12.8114
0,132500,-11.531
0,133000,-5.55414
0,133500,-12.7373
0,134000,-14.4282
0,134500,-7.22685
0,135000,-0.356706
0,135500,-5.88025
0,136000,-4.41403
0,136500,9.30807
0,137000,1.36567
0,137500,-9.82778
0,138000,-0.880286
0,138500,-6.70822
0,139000,-12.7812
0,139500,5.95521
0,140000,-4.44211
0,140500,-9.71559
0,141000,-12.8462
0,141500,-6.59943
0,142000,-6.21646
0,142500,-25.518
0,143000,3.96393
0,143500,-17.3923
0,144000,-23.0186
0,144500,-13.7138
0,145000,-25.2952
0,145500,-22.6963
0,146000,-23.9498
0,146500,-8.9354
0,147000,-19.3596
0,147500,-10.6155
0,148000,-20.7394
0,148500,-24.8936
0,149000,-27.6915
0,149500,-18.6917
0,150000,-34.56
0,150500,-26.0807
0,151000,-31.0244
0,151500,-20.8905
0,152000,-34.01
0,152500,-22.5406
0,153000,-31.5807
0,153500,-26.9648
0,154000,-33.1345
0,154500,-37.8528
0,155000,-31.0456
0,155500,-27.4025
0,156000,-35.299
0,156500,-34.488
0,157000,-38.013
0,157500,-34.9399
0,158000,-37.1263
0,158500,-30.3702
0,159000,-29.878
0,159500,-39.7204
0,160000,-34.1671
0,160500,-40.9262
0,161000,-40.9327
0,161500,-29.1336
0,162000,-49.2096
0,162500,-35.9922
0,163000,-52.9528
0,163500,-36.7714
0,164000,-49.5084
0,164500,-28.8382
0,165000,-30.9738
0,165500,-22.3971
0,166000,-39.9192
0,166500,-31.8251
0,167000,-32.0957
0,167500,-26.2734
0,168000,-41.4052
0,168500,-37.9676
0,169000,-25.6036
0,169500,-41.0004
0,170000,-31.153
0,170500,-35.0773
0,171000,-29.0494
0,171500,-32.1292
0,172000,-31.8339
0,172500,-18.7941
0,173000,-34.8936
0,173500,-41.1016
0,174000,-35.5597
0,174500,-16.6559
0,175000,-14.7742
0,175500,-23.7133
0,176000,-29.6346
0,176500,-39.4648
0,177000,-27.2097
0,177500,-32.52
0,178000,-26.8874
0,178500,-33.1772
0,179000,-15.4123
0,179500,-19.8443
0,180000,-10.2664
0,180500,-29.6434
0,181000,-32.666
0,181500,-19.0889
0,182000,-28.3357
0,182500,-21.1387
0,183000,-15.3369
0,183500,-2.68649
0,184000,-19.7902
0,184500,-24.7492
0,185000,-29.5512
0,185500,-15.3815
0,186000,-31.3526
0,186500,-9.99661
0,187000,-29.979
0,187500,-6.62377
0,188000,-24.3117
0,188500,-22.0987
0,189000,-25.1935
0,189500,-19.3192
0,190000,-17.685
0,190500,-27.5794
0,191000,-17.6834
0,191500,-10.2099
0,192000,-28.4284
0,192500,-6.16435
0,193000,-6.9006
0,193500,-28.9959
0,194000,-15.8373
0,194500,-22.3601
0,195000,-13.6716
0,195500,-24.2929
0,196000,-33.6472
0,196500,-27.6522
0,197000,-15.258
0,197500,-13.3317
0,198000,-20.3085
0,198500,-20.6302
0,199000,-13.8602
0,199500,-13.651
0,200000,-6.16898
0,200500,-15.2625
0,201000,38.5878
0,201500,-0.363977
0,202000,-23.5863
0,202500,-10.9238
0,203000,-19.4093
0,203500,-7.17684
0,204000,-6.51292
0,204500,-14.3599
0,205000,-17.7742
0,205500,-15.5718
0,206000,-11.5973
0,206500,-13.3308
0,207000,-10.7065
0,207500,-14.8064
0,208000,-8.51146
0,208500,-10.2297
0,209000,-19.0509
0,209500,-12.9618
0,210000,-17.7357
0,210500,-26.1963
0,211000,-17.599
0,211500,-9.37919
0,212000,-5.19715
0,212500,-8.48043
0,213000,-29.2265
0,213500,-7.73888
0,214000,-9.97637
0,214500,-10.9531
0,215000,-1.58418
0,215500,-22.2809
0,216000,-21.207
0,216500,-21.1138
0,217000,-18.7501
0,217500,-13.7771
0,218000,2.82814
0,218500,-18.8841
0,219000,-23.0479
0,219500,-26.3102
0,220000,-17.2068
0,220500,-13.9033
0,221000,-12.5236
0,221500,-9.72512
0,222000,-18.61
0,222500,-21.2072
0,223000,-15.1011
0,223500,-15.4844
0,224000,-14.9265
0,224500,-18.6235
0,225000,-17.3427
0,225500,-19.1258
0,226000,-16.0735
0,226500,-20.637
0,227000,-29.1744
0,227500,-6.5844
0,228000,-22.7248
0,228500,-10.414
0,229000,-4.40068
0,229500,-10.1438
0,230000,-13.9347
0,230500,-19.5711
0,231000,-2.58289
0,231500,-11.1151
0,232000,-4.83222
0,232500,-5.62792
0,233000,-19.2963
0,233500,-12.2482
0,234000,-6.89688
0,234500,-11.0035
0,235000,-17.9826
0,235500,-6.76434
0,236000,-10.7496
0,236500,-8.14548
0,237000,-11.3826
0,237500,-5.49033
0,238000,-7.64001
0,238500,-12.649
0,239000,-14.2021
0,239500,-8.38643
0,240000,-3.94628
0,240500,-7.98772
0,241000,-4.37129
0,241500,-14.2241
0,242000,-12.4489
0,242500,-10.7036
0,243000,-7.39785
0,243500,-5.35941
0,244000,-6.28801
0,244500,-7.98995
0,245000,-12.2633
0,245500,-19.995
0,246000,-14.1841
0,246500,-9.61731
0,247000,-17.9577
0,247500,-10.2192
0,248000,-8.17591
0,248500,-12.5694
0,249000,-23.7397
0,249500,-13.4235
0,250000,-17.433
0,250500,-9.67708
0,251000,-7.73532
0,251500,-12.1853
0,252000,-16.5675
0,252500,-17.4708
0,253000,-17.4871
0,253500,-15.1497
0,254000,-6.6726
0,254500,-15.6846
0,255000,-1.36503
0,255500,-15.5395
0,256000,-11.4881
0,256500,-6.06783
0,257000,-12.6122
0,257500,-19.6161
0,258000,-7.16032
0,258500,-13.3424
0,259000,-14.4991
0,259500,-0.986079
0,260000,-7.76416
0,260500,-11.3473
0,261000,-10.809
0,261500,-12.2604
0,262000,-10.6396
0,262500,-10.9667
0,263000,-12.4314
0,263500,-10.8075
0,264000,-19.4472
0,264500,-4.90373
0,265000,-9.50589
0,265500,-8.18969
0,266000,-13.516
0,266500,-3.60426
0,267000,-9.69744
0,267500,-9.99259
0,268000,-17.9614
0,268500,-11.2573
0,269000,-9.87387
0,269500,-11.0277
0,270000,-17.3785
0,270500,-5.83998
0,271000,-11.0757
0,271500,-17.2848
0,272000,-8.8851
0,272500,-13.1364
0,273000,-8.49146
0,273500,-10.5881
0,274000,-14.5391
0,274500,-7.70982
0,275000,-21.9602
0,275500,-13.9213
0,276000,-10.127
0,276500,-14.1571
0,277000,-8.92044
0,277500,-19.995
0,278000,-15.057
0,278500,-14.0909
0,279000,-19.9757
0,279500,-7.33384
0,280000,-9.85296
0,280500,-22.8055
0,281000,-16.2275
0,281500,-8.50088
0,282000,-15.7679
0,282500,-15.6311
0,283000,-21.2537
0,283500,-12.1651
0,284000,-15.5033
0,284500,-13.8406
0,285000,-18.2791
0,285500,-25.111
0,286000,-13.4438
0,286500,-20.5476
0,287000,-14.8098
0,287500,-15.5801
0,288000,-27.4193
0,288500,-11.4896
0,289000,-10.059
0,289500,-22.6804
0,290000,-28.4238
0,290500,-24.4836
0,291000,-25.1844
0,291500,-22.9398
0,292000,-395.019
0,292500,-377.38
0,293000,-371.772
0,293500,-379.103
0,294000,-380.278
0,294500,-378.314
0,295000,-382.8
0,295500,-376.314
0,296000,-370.059
0,296500,-384.886
0,297000,-370.807
0,297500,-375.537
0,298000,-379.946
0,298500,-386.376
0,299000,-375.468
0,299500,-376.349
0,300000,-376.548
0,300500,-382.144
0,301000,-381.866
0,301500,-384.457
0,302000,-380.778
0,302500,-383.088
0,303000,-390.576
0,303500,-20.1948
0,304000,-36.7766
0,304500,-29.4171
