time,время_Q_in,Q_in
0,5,5845
0,21,5876.48
0,35,5916.92
0,50,5925.88
0,66,5898.89
0,80,5894.46
0,96,5907.97
0,113,5889.96
0,127,5880.98
0,142,5889.88
0,158,5903.41
0,173,5853.99
0,188,5912.34
0,204,5885.41
0,218,5903.41
0,233,5889.93
0,249,5912.37
0,264,5943.82
0,279,5871.96
0,293,5912.4
0,309,5858.45
0,325,5871.96
0,339,5880.95
0,357,5894.49
0,372,5934.92
0,386,5921.39
0,405,5907.88
0,419,5872.02
0,434,5858.42
0,450,5889.93
0,464,5863
0,479,5880.92
0,495,5894.46
0,510,5903.44
0,525,5867.53
0,539,5849.46
0,555,5912.46
0,571,5853.99
0,586,5894.46
0,602,5916.89
0,617,5898.89
0,632,5894.46
0,648,5885.41
0,662,5898.89
0,677,5849.46
0,693,5885.47
0,707,5871.99
0,723,5889.93
0,739,5898.92
0,753,5916.86
0,768,5876.48
0,783,5858.42
0,799,5889.93
0,830,5885.44
0,845,5849.49
0,860,5889.88
0,876,5907.91
0,892,5880.89
0,906,5871.93
0,922,5881.01
0,937,5907.94
0,952,5862.97
0,968,5898.89
0,983,5880.92
0,997,5912.4
0,1013,5876.54
0,1028,5880.92
0,1043,5898.98
0,1060,5912.4
0,1074,5871.93
0,1089,5907.91
0,1105,5912.4
0,1120,5907.88
0,1135,5903.38
0,1151,5916.92
0,1165,5912.4
0,1180,5898.95
0,1197,5907.94
0,1211,5903.38
0,1226,5916.95
0,1241,5912.37
0,1256,5934.83
0,1273,5840.5
0,1288,5867.41
0,1303,5894.4
0,1317,5858.42
0,1333,5898.95
0,1349,5903.44
0,1363,5880.98
0,1379,5921.36
0,1394,5916.89
0,1408,5907.91
0,1424,5894.46
0,1440,5903.38
0,1454,5921.36
0,1469,5858.48
0,1484,5898.95
0,1500,5863
0,1515,5844.97
0,1531,5894.52
0,1546,5889.91
0,1561,5934.89
0,1577,5862.94
0,1592,5876.48
0,1606,5898.89
0,1623,5912.4
0,1638,5880.95
0,1652,5898.95
0,1669,5858.42
0,1684,5916.89
0,1698,5858.45
0,1714,5916.89
0,1728,5930.34
0,1744,5912.37
0,1761,5898.8
0,1775,5885.44
0,1790,5889.93
0,1805,5921.41
0,1822,5889.91
0,1837,5898.92
0,1852,5876.43
0,1867,5925.94
0,1882,5894.4
0,1897,5871.93
0,1913,5916.89
0,1927,5943.79
0,1942,5894.46
0,1959,5885.41
0,1974,5858.48
0,1989,5871.96
0,2005,5876.45
0,2019,5912.4
0,2034,5898.95
0,2051,5889.91
0,2065,5876.43
0,2080,5898.92
0,2095,5885.44
0,2110,5862.94
0,2126,5889.91
0,2141,5912.49
0,2156,5912.43
0,2172,5903.44
0,2187,5921.39
0,2202,5898.89
0,2217,5858.45
0,2233,5916.89
0,2248,5925.82
0,2262,5903.41
0,2278,5876.43
0,2294,5858.48
0,2308,5876.48
0,2324,5885.44
0,2338,5889.91
0,2353,5885.47
0,2370,5876.48
0,2385,5858.45
0,2400,5885.38
0,2416,5903.38
0,2430,5894.4
0,2461,5844.97
0,2476,5867.44
0,2491,5921.36
0,2506,5939.35
0,2521,5907.94
0,2537,5876.43
0,2551,5912.4
0,2567,5881.01
0,2581,5921.36
0,2597,5871.96
0,2613,5930.37
0,2627,5871.96
0,2644,5934.86
0,2659,5925.91
0,2673,5889.91
0,2690,5898.95
0,2704,5885.44
0,2719,5876.45
0,2735,5889.99
0,2749,5885.41
0,2765,5862.94
0,2782,5862.97
0,2796,5880.98
0,2811,5939.35
0,2826,5903.44
0,2842,5934.86
0,2858,5898.92
0,2872,5889.93
0,2888,5894.43
0,2905,5862.97
0,2919,5885.47
0,2935,5871.93
0,2950,5898.89
0,2964,5903.44
0,2981,5912.4
0,2995,5867.5
0,3010,5907.91
0,3025,5898.92
0,3040,5849.43
0,3056,5880.98
0,3071,5876.48
0,3086,5867.44
0,3101,5894.4
0,3117,5903.47
0,3132,5876.4
0,3148,5880.95
0,3163,5921.39
0,3178,5957.32
0,3193,5907.88
0,3207,5867.38
0,3224,5898.92
0,3238,5907.97
0,3253,5898.86
0,3269,5889.96
0,3283,5858.42
0,3299,5898.95
0,3316,5880.98
0,3330,5916.89
0,3345,5903.41
0,3361,5889.96
0,3376,5907.91
0,3391,5876.43
0,3406,5898.95
0,3421,5880.92
0,3436,5876.48
0,3452,5912.4
0,3467,5903.47
0,3481,5898.98
0,3497,5894.43
0,3513,5871.93
0,3528,5898.83
0,3544,5894.46
0,3559,5912.37
0,3574,5853.93
0,3589,5903.44
0,3606,5898.92
0,3620,5876.4
0,3635,5871.96
0,3650,5907.91
0,3665,5854.01
0,3681,5921.39
0,3696,5889.96
0,3711,5871.96
0,3725,5894.43
0,3741,5898.89
0,3757,5876.4
0,3772,5907.94
0,3788,5862.94
0,3802,5889.93
0,3817,5943.88
0,3834,5872.02
0,3848,5934.92
0,3863,5858.45
0,3879,5903.41
0,3894,5853.93
0,3909,5867.55
0,3925,5889.93
0,3939,5916.95
0,3954,5849.46
0,3987,5912.37
0,4003,5889.93
0,4017,5907.85
0,4033,5863.03
0,4049,5898.95
0,4063,5871.99
0,4079,5912.34
0,4093,5876.43
0,4108,5894.37
0,4126,5916.92
0,4140,5885.41
0,4155,5889.99
0,4171,5903.47
0,4185,5853.96
0,4201,5894.43
0,4215,5871.93
0,4232,5862.97
0,4247,5872.02
0,4261,5903.44
0,4278,5871.96
0,4293,5885.44
0,4307,5880.95
0,4323,5862.94
0,4338,5921.36
0,4353,5889.88
0,4369,5916.89
0,4384,5885.44
0,4398,5880.98
0,4414,5826.93
0,4429,5876.45
0,4444,5867.47
0,4461,5912.43
0,4476,5903.38
0,4491,5903.44
0,4506,5907.91
0,4521,5840.45
0,4536,5867.41
0,4550,5885.44
0,4566,5912.43
0,4582,5907.91
0,4596,5898.83
0,4612,5907.94
0,4627,5930.37
0,4642,5880.92
0,4658,5871.99
0,4673,5889.96
0,4687,5916.92
0,4703,5925.88
0,4717,5907.91
0,4734,5916.89
0,4751,5880.92
0,4765,5880.98
0,4780,5880.92
0,4796,5894.4
0,4811,5907.94
0,4826,5876.43
0,4842,5889.88
0,4856,5890.02
0,4871,5894.4
0,4887,5867.38
0,4902,5894.49
0,4917,5889.91
0,4932,5894.46
0,4947,5898.95
0,4962,5858.48
0,4978,5903.38
0,4993,5912.34
0,5008,5898.98
0,5024,5867.44
0,5040,5871.96
0,5054,5907.94
0,5070,5898.89
0,5084,5880.95
0,5099,5898.92
0,5116,5885.35
0,5130,5853.96
0,5145,5885.53
0,5161,5898.98
0,5175,5858.45
0,5191,5871.93
0,5206,5934.89
0,5221,5903.36
0,5237,5849.46
0,5252,5880.89
0,5268,5930.37
0,5283,5894.43
0,5297,5863
0,5313,5885.47
0,5327,5862.97
0,5344,5863.03
0,5359,5921.41
0,5373,5889.93
0,5388,5880.95
0,5405,5862.94
0,5420,5885.44
0,5435,5889.96
0,5466,5907.91
0,5481,5871.96
0,5497,5880.89
0,5513,5907.88
0,5528,5898.98
0,5543,5876.45
0,5558,5907.94
0,5573,5921.39
0,5588,5912.4
0,5604,5885.44
0,5618,5880.95
0,5635,5885.44
0,5650,5885.41
0,5665,5889.96
0,5681,5876.4
0,5695,5876.45
0,5710,5889.93
0,5726,5903.44
0,5741,5894.4
0,5756,5845.03
0,5771,5881.01
0,5786,5876.45
0,5802,5898.95
0,5817,5853.93
0,5832,5912.43
0,5846,5908
0,5862,5885.41
0,5878,5907.88
0,5893,5871.96
0,5909,5948.34
0,5924,5889.93
0,5938,5907.85
0,5955,5894.46
0,5970,5871.96
0,5984,5876.43
0,6000,5880.95
0,6014,5903.44
0,6029,5912.37
0,6046,5934.86
0,6060,5898.95
0,6075,5912.37
0,6091,5880.92
0,6105,5876.48
0,6121,5885.44
0,6138,5894.43
0,6152,5889.91
0,6167,5898.92
0,6182,5849.46
0,6198,5889.93
0,6213,5916.86
0,6227,5898.86
0,6243,5907.88
0,6257,5925.85
0,6273,5916.89
0,6289,5871.93
0,6303,5930.4
0,6318,5880.95
0,6336,5894.43
0,6350,5894.52
0,6365,5885.44
0,6380,5880.92
0,6395,5903.41
0,6411,5871.96
0,6426,5903.38
0,6455,5912.49
0,6471,5880.98
0,6487,5876.45
0,6501,5898.92
0,6517,5898.89
0,6532,5849.49
0,6546,5916.89
0,6563,5880.92
0,6579,5898.95
0,6593,5907.91
0,6609,5894.43
0,6625,5867.53
0,6640,5889.88
0,6656,5916.89
0,6671,5858.45
0,6685,5903.38
0,6701,5871.96
0,6716,5876.45
0,6732,5889.96
0,6747,5934.86
0,6762,5912.46
0,6777,5898.92
0,6791,5867.5
0,6808,5939.35
0,6823,5894.34
0,6838,5907.91
0,6854,5903.33
0,6869,5876.43
0,6884,5907.94
0,6900,5916.92
0,6915,5862.97
0,6929,5898.92
0,6945,5898.89
0,6961,5871.99
0,6975,5925.91
0,6991,5871.99
0,7005,5907.82
0,7021,5867.44
0,7037,5890.02
0,7066,5862.94
0,7082,5885.47
0,7098,5853.96
0,7113,5921.36
0,7128,5885.44
0,7143,5894.46
0,7159,5871.96
0,7175,5890.02
0,7190,5916.89
0,7203,5880.98
0,7219,5889.88
0,7234,5885.41
0,7248,5876.43
0,7264,5889.96
0,7281,5889.99
0,7295,5871.93
0,7311,5853.99
0,7327,5894.4
0,7342,5898.95
0,7357,5880.95
0,7372,5854.01
0,7387,5907.94
0,7402,5925.88
0,7418,5876.45
0,7433,5916.86
0,7447,5849.52
0,7463,5889.96
0,7479,5925.88
0,7494,5898.89
0,7510,5880.95
0,7525,5930.31
0,7539,5885.41
0,7555,5907.91
0,7570,5862.97
0,7585,5880.92
0,7600,5885.47
0,7615,5889.99
0,7631,5898.92
0,7645,5876.48
0,7661,5849.46
0,7676,5840.5
0,7690,5876.48
0,7707,5885.44
0,7723,5934.8
0,7737,5885.44
0,7783,5903.36
0,7799,5903.38
0,7813,5840.5
0,7829,5880.89
0,7844,5876.45
0,7859,5880.98
0,7875,5898.95
0,7890,5862.92
0,7904,5885.47
0,7919,5876.45
0,7937,5889.96
0,7952,5885.44
0,7967,5853.96
0,7982,5885.44
0,7997,5858.45
0,8013,5903.44
0,8027,5867.5
0,8043,5867.47
0,8058,5849.49
0,8072,5894.46
0,8089,5871.93
0,8103,5858.48
0,8118,5903.38
0,8134,5885.47
0,8148,5885.44
0,8164,5921.39
0,8180,5925.88
0,8195,5871.93
0,8210,5889.93
0,8225,5876.4
0,8241,5853.99
0,8256,5939.35
0,8271,5876.45
0,8286,5885.47
0,8300,5889.93
0,8317,5930.4
0,8333,5894.4
0,8347,5885.47
0,8363,5903.36
0,8378,5894.34
0,8393,5849.46
0,8410,5862.94
0,8425,5894.43
0,8439,5845
0,8455,5853.96
0,8469,5889.91
0,8485,5867.53
0,8500,5912.43
0,8515,5889.93
0,8530,5925.85
0,8545,5930.28
0,8561,5912.46
0,8576,5871.93
0,8591,5871.96
0,8622,5934.92
0,8638,5907.94
0,8653,5885.41
0,8667,5871.9
0,8683,5867.47
0,8698,5871.93
0,8713,5844.94
0,8728,5876.4
0,8744,5894.46
0,8758,5889.93
0,8773,5925.85
0,8789,5871.99
0,8805,5890.02
0,8820,5934.86
0,8835,5912.43
0,8850,5925.88
0,8865,5800.05
0,8881,5876.48
0,8896,5898.89
0,8910,5880.98
0,8926,5930.4
0,8942,5862.94
0,8956,5871.99
0,8972,5863
0,8986,5934.86
0,9001,5907.94
0,9019,5880.89
0,9033,5903.44
0,9048,5930.34
0,9065,5889.91
0,9078,5858.48
0,9094,5903.41
0,9110,5934.86
0,9126,5880.95
0,9141,5912.46
