time,время_rho_in,rho_in
0,662,860.491
0,4353,860.594
0,4993,860.699
0,5405,860.801
0,5695,860.903
0,6060,861.018
0,6380,861.119
0,6732,861.221
0,7128,861.324
0,7631,861.426
0,8164,861.541
0,8653,861.642
0,9248,861.747
0,9887,861.849
0,11410,861.954
0,12768,862.057
0,14568,862.162
0,15269,862.27
0,15773,862.375
0,16078,862.477
0,16518,862.586
0,17145,862.691
0,18195,862.799
0,18867,862.694
0,19889,862.591
0,20453,862.489
0,20956,862.378
0,21414,862.262
0,21718,862.16
0,21947,862.059
0,22145,861.957
0,22389,861.851
0,22755,861.749
0,25195,861.644
0,26140,861.538
0,27099,861.43
0,27389,861.449
0,27709,861.551
0,27969,861.663
0,28580,861.554
0,28760,861.452
0,28961,861.347
0,29297,861.242
0,29921,861.139
0,30608,861.037
0,31400,860.935
0,31903,860.833
0,32314,860.728
0,32649,860.626
0,33016,860.524
0,33429,860.419
0,33977,860.317
0,34815,860.214
0,36525,860.113
0,42364,860.214
0,44669,860.323
0,46468,860.425
0,48008,860.527
0,51729,860.635
0,52368,860.737
0,52856,860.84
0,53436,860.942
0,54290,861.043
0,55234,861.145
0,55979,861.247
0,56454,861.352
0,56819,861.455
0,57169,861.557
0,57552,861.662
0,57901,861.774
0,58207,861.876
0,58466,861.987
0,58803,862.095
0,59091,862.197
0,59442,862.309
0,59838,862.411
0,60220,862.514
0,60600,862.619
0,61013,862.724
0,61485,862.826
0,61973,862.927
0,62492,863.032
0,62964,863.134
0,63620,863.252
0,64169,863.354
0,64777,863.456
0,65450,863.561
0,66990,863.662
0,71639,863.56
0,72035,863.458
0,72326,863.34
0,72616,863.234
0,72860,863.126
0,73102,863.021
0,73317,862.912
0,73576,862.801
0,73804,862.692
0,74078,862.584
0,74322,862.476
0,74565,862.373
0,74825,862.255
0,75130,862.143
0,75389,862.039
0,75786,861.936
0,76244,861.825
0,76761,861.707
0,77187,861.604
0,77630,861.499
0,78134,861.394
0,78759,861.292
0,80207,861.423
0,80375,861.541
0,80541,861.646
0,81243,861.534
0,81487,861.432
0,81944,861.33
0,84629,861.228
0,86610,861.126
0,87497,861.015
0,88091,860.913
