time,время_visc_in,visc_in
0,5,9.9634
0,21,9.96649
0,35,10.0159
0,50,10.0128
0,66,10.1178
0,80,10.1147
0,96,10.019
0,113,9.86766
0,127,9.86149
0,142,10.0684
0,158,10.0159
0,173,10.019
0,188,10.0159
0,204,10.0097
0,218,9.96958
0,233,10.1672
0,264,9.96649
0,293,10.2197
0,309,10.1672
0,325,10.1611
0,339,10.3124
0,357,10.3062
0,372,9.91708
0,386,9.86766
0,405,9.86149
0,419,9.81825
0,434,10.0159
0,450,10.0128
0,464,10.1672
0,479,10.1641
0,495,10.019
0,510,9.91708
0,525,9.9109
0,539,10.1178
0,555,10.0869
0,571,10.0159
0,586,9.92017
0,602,9.9109
0,617,9.76575
0,632,9.91708
0,662,9.96649
0,677,9.9634
0,693,10.0159
0,707,10.1178
0,723,10.1116
0,739,9.96649
0,768,9.81825
0,783,9.96649
0,799,9.9634
0,814,10.1178
0,830,10.0283
0,845,10.019
0,860,9.96649
0,876,9.9634
0,892,9.76884
0,906,9.96649
0,937,9.96958
0,952,9.9634
0,968,9.86766
0,983,9.81825
0,997,9.81207
0,1013,9.92017
0,1028,9.91399
0,1043,9.91708
0,1060,10.0684
0,1074,10.0591
0,1089,10.019
0,1105,10.0653
0,1120,10.0684
0,1135,10.019
0,1151,10.0097
0,1165,9.76884
0,1180,9.91708
0,1197,9.91399
0,1211,9.91708
0,1241,10.1178
0,1256,9.92017
0,1273,9.91399
0,1288,9.91708
0,1303,9.92943
0,1317,9.96649
0,1333,9.81825
0,1349,9.81207
0,1363,9.92017
0,1379,10.0159
0,1408,9.92017
0,1424,9.91399
0,1440,9.81825
0,1454,10.2166
0,1484,9.96649
0,1515,10.1147
0,1531,10.4174
0,1546,10.4143
0,1561,10.4699
0,1577,10.0808
0,1592,10.0159
0,1606,9.96649
0,1623,9.96031
0,1638,10.019
0,1652,9.96649
0,1684,9.86766
0,1698,9.86458
0,1714,9.91708
0,1728,9.96649
0,1744,9.9634
0,1761,9.96958
0,1775,9.96649
0,1790,9.86766
0,1805,9.76884
0,1822,9.76266
0,1837,9.81825
0,1852,10.0993
0,1867,10.1178
0,1882,9.96958
0,1897,9.96031
0,1913,9.96649
0,1927,10.019
0,1942,10.0159
0,1959,9.91708
0,1974,9.91399
0,1989,9.71634
0,2005,9.96649
0,2019,9.96031
0,2034,9.91708
0,2051,9.89237
0,2065,9.81825
0,2080,10.0684
0,2095,10.0622
0,2110,9.81825
0,2126,10.019
0,2141,10.0159
0,2156,9.92017
0,2172,9.91399
0,2187,9.96649
0,2202,9.76575
0,2217,9.76266
0,2233,9.81825
0,2248,9.81516
0,2262,9.96958
0,2278,9.71634
0,2294,9.71325
0,2308,9.86766
0,2324,9.95105
0,2338,9.96958
0,2353,9.92017
0,2370,9.9109
0,2385,9.96958
0,2400,9.92017
0,2430,9.86766
0,2445,9.86149
0,2461,9.81825
0,2476,9.96649
0,2491,9.96031
0,2506,9.76884
0,2521,9.76266
0,2537,9.87075
0,2551,9.66693
0,2567,9.66075
0,2581,9.96958
0,2597,9.87384
0,2613,9.86766
0,2627,9.96649
0,2644,9.96031
0,2659,10.0159
0,2673,9.81825
0,2690,9.81516
0,2704,10.1178
0,2719,10.1147
0,2735,9.96649
0,2749,9.81825
0,2765,9.81207
0,2782,9.86766
0,2796,9.89855
0,2811,10.0159
0,2826,9.86766
0,2842,9.86149
0,2858,9.81825
0,2872,9.91708
0,2905,9.86766
0,2919,9.86149
0,2935,10.0684
0,2950,10.2166
0,2964,10.2136
0,2981,10.0159
0,3010,9.86766
0,3025,9.96649
0,3040,9.9634
0,3056,9.81825
0,3071,9.8584
0,3086,9.86766
0,3117,9.86149
0,3132,9.96649
0,3148,10.2197
0,3178,9.86766
0,3193,9.86149
0,3207,9.96958
0,3224,9.76884
0,3238,9.76266
0,3253,9.96649
0,3269,9.9634
0,3283,10.019
0,3299,9.87075
0,3316,9.86149
0,3330,10.1178
0,3345,10.5502
0,3361,10.6212
0,3376,10.1672
0,3391,10.1611
0,3406,9.92017
0,3421,10.0159
0,3452,9.96958
0,3467,9.9634
0,3481,10.019
0,3497,9.96649
0,3513,9.96031
0,3528,9.86766
0,3544,9.85531
0,3559,9.81825
0,3574,9.96649
0,3589,9.9634
0,3606,10.0159
0,3620,9.81825
0,3650,9.91708
0,3665,9.91399
0,3681,9.92017
0,3696,9.91708
0,3711,9.91399
0,3725,9.91708
0,3741,9.91399
0,3757,10.1178
0,3772,9.96649
0,3788,9.96031
0,3802,9.86766
0,3817,9.78737
0,3834,9.76884
0,3863,9.76266
0,3879,10.019
0,3894,9.91708
0,3909,9.92017
0,3925,9.86766
0,3939,9.86458
0,3954,9.96649
0,3972,10.019
0,3987,10.0128
0,4003,9.96649
0,4017,10.1672
0,4049,10.019
0,4063,10.0128
0,4079,9.96958
0,4093,9.96649
0,4108,9.96031
0,4126,9.86766
0,4140,9.86458
0,4155,9.91708
0,4171,9.96649
0,4185,9.96031
0,4201,9.92017
0,4215,9.91708
0,4247,9.81825
0,4261,9.81207
0,4278,10.1178
0,4293,9.92017
0,4323,9.86766
0,4338,9.86149
0,4353,10.1178
0,4369,9.91708
0,4384,9.9109
0,4398,9.96649
0,4429,10.0159
0,4444,9.96958
0,4461,9.9634
0,4476,9.81825
0,4491,9.96031
0,4506,9.96649
0,4521,10.019
0,4536,10.0128
0,4550,10.0159
0,4566,10.019
0,4596,9.87075
0,4612,9.86766
0,4627,9.87075
0,4642,10.1672
0,4658,10.1611
0,4673,10.019
0,4687,10.0159
0,4703,9.96649
0,4717,10.1147
0,4734,10.1116
0,4751,9.86766
0,4765,10.1672
0,4796,10.0159
0,4811,10.0097
0,4826,10.0159
0,4842,9.92017
0,4856,9.91708
0,4871,9.86766
0,4887,9.86458
0,4902,10.019
0,4917,9.86766
0,4932,9.86149
0,4947,10.019
0,4962,10.0159
0,4978,10.0684
0,4993,9.96649
0,5008,9.96031
0,5024,10.1178
0,5040,10.0684
0,5070,9.96649
0,5084,9.9634
0,5099,10.019
0,5116,10.0159
0,5130,10.0128
0,5145,10.019
0,5161,10.0159
0,5175,10.0653
0,5191,10.0159
0,5206,10.0128
0,5221,9.91708
0,5237,9.9634
0,5252,10.019
0,5268,9.96958
0,5283,9.96031
0,5297,10.1672
0,5313,9.92017
0,5344,9.81825
0,5359,9.81516
0,5373,9.96649
0,5388,10.0653
0,5405,10.0622
0,5420,10.2197
0,5435,10.2166
0,5451,9.96958
0,5466,10.0653
0,5481,10.0622
0,5497,10.4699
0,5513,9.91708
0,5528,9.92017
0,5543,10.1178
0,5558,10.1116
0,5573,10.1178
0,5588,10.0684
0,5635,10.0622
0,5650,10.2661
0,5665,10.1178
0,5681,10.1116
0,5695,10.0653
0,5726,10.0684
0,5741,10.019
0,5756,10.0097
0,5771,10.1672
0,5786,10.0653
0,5817,10.1178
0,5832,10.1116
0,5846,10.1672
0,5862,10.1178
0,5878,10.1116
0,5893,10.0653
0,5909,10.0622
0,5924,10.1178
0,5955,10.1116
0,5970,9.96649
0,5984,10.1055
0,6000,10.3155
0,6014,10.019
0,6029,10.0128
0,6046,10.1178
0,6060,10.2197
0,6091,10.1672
0,6105,10.1611
0,6121,10.2197
0,6138,10.3186
0,6152,10.3155
0,6167,10.1672
0,6182,10.1641
0,6198,10.2197
0,6213,10.1672
0,6227,10.1611
0,6243,10.1672
0,6257,10.0159
0,6273,10.019
0,6289,10.1672
0,6303,10.1611
0,6318,10.0653
0,6336,10.1147
0,6365,10.019
0,6380,10.0159
0,6395,10.1147
0,6411,10.1672
0,6426,10.1641
0,6441,10.3155
0,6455,10.3124
0,6471,10.2691
0,6487,10.0684
0,6501,10.0591
0,6517,10.1672
0,6532,10.2166
0,6546,10.2197
0,6563,10.2691
0,6579,10.263
0,6593,10.1178
0,6609,10.1672
0,6625,10.1641
0,6640,10.2691
0,6656,10.2661
0,6671,10.2197
0,6685,10.3124
0,6701,10.3093
0,6716,10.2691
0,6732,10.1765
0,6747,10.1672
0,6762,10.0653
0,6777,10.0591
0,6791,10.1672
0,6808,10.2166
0,6838,10.1178
0,6854,10.1147
0,6869,10.1672
0,6884,10.2661
0,6900,10.263
0,6915,10.2691
0,6929,10.2661
0,6945,10.3124
0,6961,10.4699
0,6975,10.4606
0,6991,10.3124
0,7005,10.2691
0,7051,10.2599
0,7066,10.3124
0,7082,10.1672
0,7113,10.3124
0,7128,10.3093
0,7143,10.1178
0,7159,10.3124
0,7175,10.3062
0,7190,10.368
0,7203,10.3216
0,7219,10.2166
0,7234,10.3093
0,7248,10.3062
0,7264,10.2691
0,7281,10.4699
0,7311,10.5193
0,7327,10.5131
0,7342,10.2691
0,7357,10.368
0,7372,10.3618
0,7387,10.5193
0,7402,10.5162
0,7433,10.2197
0,7447,10.2105
0,7463,10.2166
0,7479,10.3433
0,7494,10.368
0,7510,10.4205
0,7525,10.4112
0,7539,10.3124
0,7555,10.4205
0,7585,10.368
0,7600,10.3649
0,7615,10.3093
0,7645,10.3062
0,7661,10.3093
0,7676,10.3247
